# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	Ku1 (J/m3)
0	-5.711627e-10	4.0745363e-10	-0.9999703	0	0	0.13	715555.56
0	-1.1041266e-09	9.313226e-10	-0.9999669	0	0	0.14	715555.56
0	-1.3296813e-09	8.1490725e-10	-0.9999626	0	0	0.14999999	715555.56
0	-1.4897523e-09	1.1641532e-09	-0.99995726	0	0	0.15999998	715555.56
0	-2.3010216e-09	1.5716068e-09	-0.99995005	0	0	0.16999999	715555.56
0	-3.6434358e-09	2.1536835e-09	-0.99993986	0	0	0.18	715555.56
0	-6.1063474e-09	4.773028e-09	-0.9999248	0	0	0.19	715555.56
0	-1.5446858e-08	1.094304e-08	-0.99990046	0	0	0.20000002	715555.56
0	-5.9244485e-08	5.424954e-08	-0.99985564	0	0	0.21000001	715555.56
0	-2.2369932e-06	1.7997809e-06	-0.9997548	0	0	0.22000001	715555.56
0	-0.0002167988	0.00017450773	-0.99943686	0	0	0.23	715555.56
0	-0.002401349	0.0019329428	-0.99860424	0	0	0.24	715555.56
0	-0.005152762	0.00414767	-0.9977852	0	0	0.25	715555.56
0	-8.276402e-09	7.52334e-09	0.99999475	0	0	0.26	715555.56
0	3.092282e-11	1.8189894e-11	0.99999493	0	0	0.27	715555.56
0	2.3646862e-11	7.275958e-12	0.99999505	0	0	0.28	715555.56
0	4.7293724e-11	-2.3646862e-11	0.9999952	0	0	0.29	715555.56
0	5.638867e-11	0	0.99999523	0	0	0.29999998	715555.56
0	1.36424205e-11	9.094947e-12	0.99999535	0	0	0.30999997	715555.56
0	2.0918378e-11	-3.637979e-12	0.9999954	0	0	0.31999996	715555.56
0	3.637979e-12	-3.637979e-12	0.9999955	0	0	0.33	715555.56
0	2.8194336e-11	2.0008883e-11	0.9999955	0	0	0.33999997	715555.56
0	3.092282e-11	7.275958e-12	0.9999958	0	0	0.34999996	715555.56
0	2.7284841e-11	-6.548362e-11	0.9999958	0	0	0.36	715555.56
0	3.6379788e-11	0	0.99999595	0	0	0.37	715555.56
0	1.4551915e-11	-1.8189894e-11	0.999996	0	0	0.38	715555.56
0	4.5474735e-11	2.1827873e-11	0.99999607	0	0	0.39	715555.56
0	1.2732926e-11	7.275958e-12	0.9999962	0	0	0.40000004	715555.56
0	1.6370905e-11	1.8189894e-11	0.9999962	0	0	0.41000003	715555.56
0	2.1827873e-11	9.094947e-12	0.99999624	0	0	0.42000002	715555.56
0	3.092282e-11	-4.3655746e-11	0.99999636	0	0	0.43000004	715555.56
0	2.5465852e-11	-7.275958e-12	0.99999636	0	0	0.44000003	715555.56
0	1.546141e-11	-1.4551915e-11	0.9999965	0	0	0.45000002	715555.56
0	2.3646862e-11	3.0013325e-11	0.99999654	0	0	0.46	715555.56
0	1.36424205e-11	-5.002221e-11	0.99999654	0	0	0.47	715555.56
0	1.8189894e-12	1.1823431e-11	0.99999666	0	0	0.48	715555.56
0	3.7289283e-11	6.366463e-12	0.99999666	0	0	0.49	715555.56
0	3.274181e-11	1.2732926e-11	0.99999684	0	0	0.5	715555.56
0	2.8194336e-11	9.094947e-13	0.9999968	0	0	0.49	715555.56
0	7.275958e-12	-3.092282e-11	0.99999666	0	0	0.48	715555.56
0	2.7284841e-11	-7.275958e-12	0.99999654	0	0	0.47	715555.56
0	1.9099389e-11	-5.0931703e-11	0.99999654	0	0	0.46	715555.56
0	3.3651304e-11	1.4551915e-11	0.9999965	0	0	0.45000002	715555.56
0	2.6375346e-11	0	0.99999636	0	0	0.44000003	715555.56
0	3.0013325e-11	1.4551915e-11	0.99999636	0	0	0.43000004	715555.56
0	2.0918378e-11	-1.0913936e-11	0.9999963	0	0	0.42000002	715555.56
0	2.7284841e-11	7.275958e-12	0.9999962	0	0	0.41000003	715555.56
0	8.185452e-12	-7.275958e-12	0.9999962	0	0	0.40000004	715555.56
0	2.910383e-11	-1.0913936e-11	0.99999607	0	0	0.39	715555.56
0	6.366463e-12	9.094947e-12	0.999996	0	0	0.38	715555.56
0	9.094947e-12	-1.6370905e-11	0.99999595	0	0	0.37	715555.56
0	2.0918378e-11	-1.0913936e-11	0.9999958	0	0	0.36	715555.56
0	3.1832315e-11	1.4551915e-11	0.9999958	0	0	0.34999996	715555.56
0	4.3655746e-11	2.7284841e-11	0.9999956	0	0	0.33999997	715555.56
0	8.185452e-12	-2.0008883e-11	0.9999955	0	0	0.33	715555.56
0	2.2737368e-11	-5.0931703e-11	0.9999954	0	0	0.31999996	715555.56
0	1.6370905e-11	4.3655746e-11	0.99999535	0	0	0.30999997	715555.56
0	2.7284841e-11	-7.275958e-12	0.99999523	0	0	0.29999998	715555.56
0	3.9108272e-11	-1.0913936e-11	0.9999952	0	0	0.29	715555.56
0	4.0017767e-11	1.4551915e-11	0.999995	0	0	0.28	715555.56
0	2.7284841e-11	2.1827873e-11	0.99999493	0	0	0.27	715555.56
0	1.8189894e-11	7.275958e-12	0.9999949	0	0	0.26	715555.56
0	3.9108272e-11	1.4551915e-11	0.9999946	0	0	0.25	715555.56
0	4.820322e-11	-3.637979e-12	0.9999945	0	0	0.24	715555.56
0	3.274181e-11	-5.0931703e-11	0.9999944	0	0	0.23	715555.56
0	5.5479177e-11	-2.910383e-11	0.9999942	0	0	0.22000001	715555.56
0	4.0017767e-11	1.4551915e-11	0.9999941	0	0	0.21000001	715555.56
0	2.2737368e-11	7.275958e-12	0.9999939	0	0	0.20000002	715555.56
0	5.3660187e-11	7.2759576e-11	0.9999936	0	0	0.19	715555.56
0	7.548806e-11	-4.7293724e-11	0.99999356	0	0	0.18	715555.56
0	3.0013325e-11	4.0017767e-11	0.9999934	0	0	0.16999999	715555.56
0	4.5474735e-11	2.910383e-11	0.9999932	0	0	0.15999998	715555.56
0	7.912604e-11	-4.7293724e-11	0.99999297	0	0	0.14999999	715555.56
0	4.7293724e-11	8.0035534e-11	0.9999927	0	0	0.14	715555.56
0	6.002665e-11	2.910383e-11	0.9999925	0	0	0.13	715555.56
0	1.3187673e-10	-8.0035534e-11	0.99999225	0	0	0.12	715555.56
0	1.027729e-10	-2.910383e-11	0.99999195	0	0	0.11000001	715555.56
0	8.458301e-11	2.910383e-11	0.9999917	0	0	0.10000001	715555.56
0	9.3677954e-11	1.4551915e-11	0.9999915	0	0	0.09	715555.56
0	1.2732926e-10	7.275958e-12	0.99999106	0	0	0.07999999	715555.56
0	1.05501385e-10	0	0.9999908	0	0	0.07	715555.56
0	1.027729e-10	-4.3655746e-11	0.99999046	0	0	0.06	715555.56
0	1.1186785e-10	-1.4551915e-11	0.99999	0	0	0.050000004	715555.56
